	freq	pmi	t-score	trigram	xi square	z-score
4	145	5.535557002717151	11.481894989525303	<x> доказать_v что_conj	1.295575975010203e+31	53.25716902542358
19	79	8.8118596088951	8.845554223171632	доказать_v что_conj если_conj	5.308000600388156e+30	127.70921493909015
16	86	4.781912667404314	8.546860591540172	доказать_v что_conj <x>	1.7714402567864876e+31	30.530671132630843
28	71	16.877912636443767	8.425998935131606	ответ_s указание_s решение_s	4.365239896504771e+29	1991.5010511922555
30	69	10.333514823789777	8.292744602953023	а_s <x> о_s	6.749804251764548e+29	202.87447447116642
33	64	15.453377433907189	7.999615585701888	только_part тогда_adv когда_conj	3.969618669239102e+29	1154.0226824734523
32	64	8.274967113670096	7.944317803286509	в виде_pr <x>	1.2930820310879023e+30	95.22334267084696
31	68	5.652301782260997	7.892717482216257	<x> на_pr плоскость_s	4.4359252033652985e+30	38.12087884013299
37	62	12.973008219355957	7.87189647203253	тогда_adv только_part тогда_adv	3.9332195599097915e+29	480.7196048348539
34	63	6.455838219296097	7.742310320038121	<x> мочь_v быть_v	2.0603906952433816e+30	49.40275927435665
39	59	8.735664638986492	7.64229775323782	о_pr а_s <x>	7.799336640535688e+29	107.46143971107647
46	51	9.81470680349971	7.124332069530243	<x> то есть_adv	1.4731736853462313e+30	145.60788157679482
27	71	3.5917160263487764	6.919353275320198	<x> в_pr точка_s	1.9996010242902856e+31	16.36261796847588
48	50	5.954440197311653	6.82522382912281	один_a из_pr <x>	1.2044425058328752e+31	36.60408944874465
60	46	7.4525449494961835	6.698850638741214	м получить_v <x>	1.0762770257607207e+30	60.38099116121458
63	45	8.456310251707416	6.66702805093259	доказать_v что_conj при_pr	4.9678967723647636e+30	85.09694278396225
65	45	6.368918293621731	6.533215033687846	<x> иметь_v вид_s	2.692449738058637e+30	40.45058735730165
68	42	7.605429299113431	6.408993989578236	теорема_s доказать_partcp <x>	6.048326626757479e+29	60.91176654455796
69	41	7.9987396470286605	6.349151921397975	доказать_v что_conj для_pr	4.6397656703359294e+30	69.15540924997048
75	39	9.362890558061206	6.224549515763418	зависеть_v от_pr <x>	1.6988688814455021e+30	108.77861734280768
77	37	7.629360018755805	6.016529544088956	совпадать_v с_pr <x>	8.305999510416856e+30	57.65796584080754
83	36	13.098682739986245	5.998525331071916	в виде_pr где_adv	9.500117170545085e+29	382.6245726746011
84	36	11.930665213333098	5.996686378949141	при помощи_pr <x>	1.900562569829803e+29	255.17348274882718
91	35	9.354273383956574	5.896592251448218	о_s а_s <x>	6.638067496238108e+29	102.74003083056414
23	73	2.788243779033703	5.877414612101304	<x> лекция_s <x>	1.2491098253256349e+30	10.520563230662633
98	34	7.94048443087499	5.779777212880374	а_s <x> о_pr	7.67340462891876e+29	61.69546637377348
97	34	6.448473412697323	5.687007346067107	теорема_s о_pr <x>	8.188229795226705e+29	36.19561058624083
106	32	12.249868670883927	5.654350235427841	с помощью_pr <x>	1.30385747423653e+29	268.7520701336156
78	37	4.774292306639607	5.60354206413551	на_pr плоскость_s <x>	7.291878657287168e+29	19.96390013698017
80	37	4.604962660633738	5.54386193929454	число_s называться_v <x>	6.794413348283719e+30	18.625524327714228
89	35	5.004686300274461	5.518784860797159	<x> такой_a что_conj	1.5106766239433405e+30	21.296290782676063
115	31	7.229163424056971	5.487757820764097	<x> в виде_pr	2.8986459468498196e+30	45.77966503313381
85	36	4.62619803085908	5.47619870859225	следовать_v что_conj <x>	1.059530856593326e+31	18.53410168007046
120	30	10.910477280707116	5.471090506970657	существовать_v такой_a что_conj	1.4390752268622588e+30	163.47243049056547
121	30	9.770401846912307	5.46370434227978	непрерывный_a в_pr точка_s	3.4085225053696896e+30	109.96623583076416
117	30	8.2764826634885	5.43914260820472	<x> см также_adv	7.17893855516034e+29	65.2296986293923
118	30	8.14218707394116	5.435427356215772	доказать_v что_conj число_s	3.6826531151805887e+30	62.22073281884233
122	30	7.120002471943189	5.392333724329485	<x> теорема_s доказать_partcp	1.651339073891128e+30	43.31357941212903
86	36	4.391125229429622	5.3835036222579475	в_pr <x> координата_s	4.3080014029834665e+31	16.7948206408545
125	29	8.898411200848193	5.360834364982104	что_conj для_pr любой_a	1.1030781459607945e+30	79.75481054675677
124	29	8.227573063007553	5.346430802241735	см также_adv <x>	3.8517572624521875e+29	63.040151493495806
110	32	5.08067931102545	5.2964600389103165	следовать_v из_pr <x>	1.0616140933798372e+31	20.98380740916543
136	28	10.22242462045541	5.281953526026909	таким образом_adv <x>	2.7094953042671105e+29	124.33773491333464
134	28	8.949636383585819	5.268429322729004	то есть_adv <x>	5.063297291958537e+29	79.7840017074839
138	28	7.474176315654976	5.227342166499862	<x> операция_s с_pr	1.1250435088050727e+29	47.47191122437663
109	32	4.621143729033388	5.161276498951366	точка_s называться_v <x>	6.51665333981245e+30	17.437680664687374
107	32	4.456273029416768	5.101279081769343	<x> следовать_v что_conj	1.4003587442067096e+30	16.277779650096136
157	25	18.369006933050024	4.999968158932858	γ_γ γ_γ γ_γ	1.6481697353837368e+29	1981.3373823403238
152	25	16.01279098987601	4.999836965584918	представить_v в виде_pr	2.508207562687845e+30	875.5908216358241
163	25	14.386717063324273	4.999496758652281	интегрировать_partcp на_pr отрезок_s	7.45353613358289e+29	498.33700175788573
155	25	10.351378102249601	4.991748471828899	число_s делиться_v на_pr	8.914010763996072e+29	122.8769724986313
131	28	5.2268466633850545	4.986866726929284	для_pr любой_a <x>	9.244890428934015e+29	20.78388507712539
150	25	7.370292589160848	4.934847580877695	функция_s в_pr точка_s	3.4415458871564063e+30	43.23081994571813
135	28	4.8880342330830535	4.90622500493634	из_pr <x> следовать_v	3.990757601911892e+30	18.18235277623553
167	24	14.866434459572103	4.898625893422248	записать_v в виде_pr	2.5016093488512505e+30	576.6015167053188
160	25	6.2382560446346	4.857206808015749	в_pr точка_s если_conj	1.1408495565309569e+30	28.742056998089136
185	23	12.714523820556346	4.7942931896095695	пусть_part функция_s определить_partcp	2.1388217913418862e+29	267.6894594828053
182	23	12.449353358958842	4.7939827876544	операция_s с_pr он	9.104116540269057e+28	244.16927880170124
173	23	12.43403923676413	4.793963058910687	найтись_v такой_a что_conj	1.4110574362855776e+30	242.87579104490393
186	23	10.607333643246722	4.789203591909319	функция_s непрерывный_a на_pr	2.624498547225151e+29	128.82681092179368
171	24	6.573711989205891	4.7880975452929375	<x> с_pr неизвестный_a	1.1224939675060852e+30	31.826244251898274
172	23	8.68117211908895	4.770642553829602	в качестве_pr <x>	1.1736537229984433e+29	65.82693537149525
153	25	5.4447125197391655	4.752492760887216	показать_v что_conj <x>	9.87278291939216e+30	21.360554053814568
144	26	4.935228702599722	4.739705225970634	определение_s <x> называться_v	4.0111041073275986e+30	17.85490017055963
149	26	4.870565761534133	4.723234054217431	глава_s <x> в_pr	3.612274997161784e+31	17.398540494136068
189	22	18.931246539510095	4.690395530658077	хотя бы_adv один_a	7.421910337496321e+28	2258.53151716959
195	22	16.636536920901598	4.690316504366991	π_π π_π π_π	2.043421753329579e+29	1019.6018735779933
190	22	12.943804383683894	4.689132313676439	см также_adv доказать_v	2.3573500086770426e+29	283.47145468917125
196	22	11.047434432535775	4.685637806654545	задача_s показать_v что_conj	5.759690351930962e+29	146.80925711468134
201	22	10.277664716025654	4.682269361092196	л_sв_pr <x> операция_s	3.464155710990038e+29	112.351592544596
200	22	10.258402617746377	4.682159865363295	дифференцировать_partcp в_pr точка_s	3.352700737560363e+30	111.60145119126017
202	22	6.982921450464522	4.610472433607592	л_sв_pr <x> уравнение_s	5.770365025350064e+30	35.315063610906876
216	21	12.670150159297883	4.58105985242738	при_pr переход_s от_pr	1.1669314383721712e+29	251.8800355389757
213	21	9.807387121176564	4.571549348545511	<x> таким образом_adv	5.784999612268488e+29	93.19710450634904
184	23	5.371162638960748	4.5460142063635285	<x> задача_s пусть_part	5.28523728963954e+29	19.918263698981892
174	23	5.002120251853193	4.473193633981301	мочь_v быть_v <x>	3.3761670557309525e+30	17.24614261863299
232	20	19.17828778540213	4.4721197027008435	λ_λ λ_λ λ_λ	1.1038516907752802e+29	2345.921741281072
239	20	18.570566497338195	4.47211118892746	необходимый_a достаточно_adv чтобы_conj	8.040108157469712e+28	1900.3846990695158
237	20	15.071005603821307	4.471855844147986	в качестве_pr пример_s	1.0555093995430911e+29	565.041475157006
231	20	14.350133560890923	4.471674282461621	мочь_v быть_v записать_partcp	5.088038750264919e+29	440.1093954199336
238	20	12.092803344606507	4.469928671346041	непрерывный_a на_pr отрезок_s	8.92619491147363e+29	201.20048272128125
236	20	12.085764222230237	4.469917875366623	базис_s к_pr базис_s	5.770809218741509e+28	200.7097527452423
241	20	10.140916987573398	4.463596414773529	плоскость_s в_pr пространство_s	3.3130689144365514e+29	102.14689615861236
211	21	6.32130041621793	4.459024116525653	<x> м получить_v	7.519482712513256e+29	27.15629362916921
223	20	9.181580512241247	4.455531541363116	б_part доказать_v что_conj	1.0330762977653482e+31	73.12152655007111
191	22	5.2873049654817486	4.4314671181863545	<x> делиться_v на_pr	8.826572888410474e+29	18.860203862156688
210	21	5.697404981351501	4.392178941766701	заметить_v что_conj <x>	9.562139802933345e+30	21.547906381144443
212	21	5.6974049813515	4.392178941766701	<x> заметить_v что_conj	3.923902811118284e+29	21.547906381144443
229	20	6.754586824393999	4.3828421266823465	тогда_adv когда_conj <x>	2.1681535062824122e+29	31.0172010242093
240	20	6.603524191940658	4.372985245428855	на_pr плоскость_s в_pr	4.049972974726794e+29	29.36889439712559
224	20	6.4354091066351335	4.3607312558954145	на_pr доказать_v что_conj	1.02722529754041e+31	27.628993652229234
250	19	14.704948424315473	4.358547070553681	проходить_partcp через_pr точка_s	1.1689012644474668e+29	485.10659284967335
249	19	11.902982006024326	4.3564450152561385	многочлен_s делиться_v на_pr	8.657507427755779e+29	183.60719843915925
259	19	11.871467256945468	4.356390821000173	прил_s <x> исчисление_s	1.337580692687325e+29	181.61046020787754
246	19	11.550240715847957	4.355765314556811	отсюда_adv следовать_v что_conj	1.1105556057808386e+30	162.45350458273577
255	19	11.067748250563634	4.354520776974038	от_pr базис_s к_pr	4.125884030413682e+28	137.3987011203474
258	19	10.114432456744817	4.350421421462582	теорема_s пусть_part функция_s	2.694638932452648e+29	98.64731390105274
253	19	7.3123596998170965	4.29977316404887	так как_conj <x>	1.1180361309971604e+30	36.91862394893649
54	47	2.5047196357413375	4.251343419372313	<x> <x> порядок_s	3.736953732142092e+32	6.897698621868469
218	20	5.423961870494221	4.247551616579857	называться_v <x> множество_s	3.272721776862347e+30	18.954242406264736
267	18	16.47996611249003	4.242540615295959	представимый_a в виде_pr	2.463254105320407e+30	873.5509262530446
276	18	16.346238673594396	4.242530895855768	стремиться_v к_pr нуль_s	7.006740514367591e+28	833.986937431752
269	18	13.60952615653515	4.2419088737482324	можно_adv записать_v в	6.874596222251822e+28	322.9827223200738
