	c-value	ngram
0	266.4888888888889	геометрия_s линейный_a алгебра_s
1	265.7979797979798	аналитический_a геометрия_s линейный_a
2	141.0	система_s линейный_a уравнение_s
3	100.87692307692308	а_s а_s т_s
4	76.4375	доказать_v что_conj если_conj
6	69.55555555555556	ответ_s указание_s решение_s
5	67.3157894736842	в_pr линейный_a пространство_s
7	66.0327868852459	тогда_adv только_part тогда_adv
8	62.73809523809524	а_s т_s о_s
9	59.90566037735849	только_part тогда_adv когда_conj
10	55.07692307692308	функция_s в_pr точка_s
11	52.68292682926829	о_pr а_s а_s
12	48.578947368421055	линия_s второй_a порядок_s
13	44.0	число_s доказать_v что_conj
15	42.21739130434783	доказать_v что_conj при_pr
18	41.0	с_pr другой_a сторона_s
16	37.166666666666664	элемент_s линейный_a пространство_s
17	36.785714285714285	доказать_v что_conj для_pr
14	34.38095238095238	зависимость_s в_pr линейный_a
21	34.22727272727273	доказать_v что_conj число_s
24	32.916666666666664	в виде_pr где_adv
23	32.5	число_s такой_a что_conj
22	32.375	иметь_v место_s равенство_s
20	31.294117647058822	линейный_a уравнение_s с_pr
30	31.074074074074073	число_s делиться_v на_pr
19	31.0	поверхность_s второй_a порядок_s
28	30.727272727272727	линейный_a оператор_s в_pr
26	30.666666666666668	что_conj для_pr любой_a
29	30.666666666666668	хотя бы_adv один_a
25	28.666666666666668	ортонормированный_a система_s координата_s
31	28.153846153846153	уравнение_s с_pr неизвестный_a
35	27.5	в_pr координатный_a форма_s
34	27.5	матрица_s линейный_a оператор_s
33	27.1	непрерывный_a в_pr точка_s
27	27.083333333333332	о_s а_s а_s
32	26.5	а_s т_s о_pr
38	26.1	существовать_v такой_a что_conj
40	25.0	в_pr сила_s теорема_s
39	24.833333333333332	декартовый_a система_s координата_s
45	24.0	тогда_adv в_pr сила_s
42	24.0	в_pr евклидов_a пространство_s
44	23.81818181818182	функция_s непрерывный_a на_pr
43	23.307692307692307	решение_s система_s линейный_a
48	22.75	непрерывный_a на_pr отрезок_s
62	22.0	фундаментальный_a система_s решение_s
49	22.0	скалярный_a произведение_s вектор_s
76	22.0	если_conj для_pr любой_a
52	21.928571428571427	представить_v в виде_pr
65	21.333333333333332	дифференциальный_a уравнение_s порядок_s
57	21.235294117647058	полярный_a система_s координата_s
41	20.57142857142857	линейный_a зависимость_s в_pr
37	20.4	алгебра_s аналитический_a геометрия_s
54	20.0	в_pr точка_s если_conj
58	20.0	интегрировать_partcp на_pr отрезок_s
97	20.0	в_pr общий_a случай_s
104	20.0	необходимый_a достаточно_adv чтобы_conj
68	19.923076923076923	проходить_partcp через_pr точка_s
59	19.8	остаток_s от_pr деление_s
55	19.666666666666668	базис_s в_pr который_a
71	19.5	глава_s преобразование_s плоскость_s
63	19.125	матрица_s переход_s от_pr
115	19.0	стремиться_v к_pr нуль_s
73	19.0	см также_adv доказать_v
108	19.0	отсюда_adv следовать_v что_conj
66	19.0	некоторый_a окрестность_s точка_s
114	19.0	вопрос_s что_s равный_a
56	19.0	в_pr ортонормированный_a базис_s
82	18.5	л_sв_pr евклидов_a пространство_s
80	18.25	теорема_s доказать_partcp теорема_s
61	18.0	задача_s показать_v что_conj
120	18.0	при_pr условие_s что_conj
67	18.0	найтись_v такой_a что_conj
77	17.916666666666668	в качестве_pr пример_s
83	17.759999999999998	основной_a теорема_s арифметика_s
94	17.68	число_s от_pr до_pr
70	17.63157894736842	пусть_part функция_s определить_partcp
74	17.6	представимый_a в виде_pr
64	17.57894736842105	переход_s от_pr один_a
103	17.428571428571427	решение_s неоднородный_a система_s
95	17.428571428571427	б_part доказать_v что_conj
96	17.03333333333333	на_pr доказать_v что_conj
93	17.0	что_conj при_pr любой_a
88	17.0	в_pr окрестность_s точка_s
69	17.0	дифференцировать_partcp в_pr точка_s
36	17.0	линейный_a алгебра_s аналитический_a
87	17.0	точка_s в_pr который_a
98	16.821428571428573	многочлен_s делиться_v на_pr
51	16.8	порядок_s на_pr плоскость_s
60	16.75	записать_v в виде_pr
86	16.5	прямой_a на_pr плоскость_s
50	16.266666666666666	второй_a порядок_s на_pr
150	16.0	отличный_a от_pr нуль_s
162	16.0	при_pr замена_s базис_s
119	15.833333333333334	число_s мочь_v быть_v
99	15.833333333333332	мочь_v быть_v записать_partcp
72	15.777777777777779	глава_s линейный_a зависимость_s
89	15.681818181818182	функция_s определить_partcp в_pr
112	15.333333333333334	собственный_a вектор_s оператор_s
118	15.0	квадратичный_a функционал_s в_pr
117	15.0	теорема_s пусть_part функция_s
111	15.0	зависеть_v от_pr выбор_s
113	14.91304347826087	в_pr чем_conj сущность_s
84	14.545454545454547	при_pr переход_s от_pr
102	14.333333333333332	решение_s однородный_a система_s
107	14.25	поставить_partcp в_pr соответствие_s
121	14.25	иметь_v единственный_a решение_s
109	14.0	с_pr один_a сторона_s
208	14.0	к_pr канонический_a вид_s
124	14.0	функция_s один_a переменная_s
197	14.0	число_s см также_adv
128	14.0	матрица_s квадратичный_a функционал_s
217	14.0	откуда_adv следовать_v что_conj
214	14.0	тогда_adv для_pr любой_a
209	14.0	быть_v иметь_v вид_s
139	13.875	если_conj ряд_s сходиться_v
151	13.785714285714285	интегрирование_s по_pr часть_s
123	13.7	от_pr выбор_s базис_s
138	13.666666666666666	система_s координата_s в_pr
155	13.5	смешанный_a произведение_s вектор_s
130	13.333333333333334	такой_a что_conj при_pr
148	13.333333333333334	уравнение_s иметь_v корень_s
156	13.333333333333334	тогда_adv м получить_v
143	13.2	из_pr равенство_s следовать_v
152	13.2	в_pr правый_a часть_s
116	13.11111111111111	в_pr некоторый_a окрестность_s
147	13.1	теорема_s об_pr остаток_s
166	13.0	корень_s квадратный_a уравнение_s
259	13.0	теорема_s доказать_partcp следствие_s
168	13.0	вектор_s на_pr плоскость_s
145	13.0	признак_s делимость_s на_pr
232	13.0	определение_s число_s называться_v
127	13.0	при_pr аффинный_a преобразование_s
235	13.0	каждый_a из_pr он
244	13.0	в_pr каждый_a точка_s
140	13.0	равный_a нуль_s одновременно_adv
252	13.0	линейный_a комбинация_s вектор_s
260	13.0	фуниция_s в_pr точка_s
146	12.941176470588236	китайский_a теорема_s об_pr
129	12.75	по крайней мере_adv
46	12.75	плоскость_s в_pr пространство_s
167	12.75	наибольший_a общий_a делитель_s
134	12.666666666666668	по_pr теорема_s о_pr
171	12.666666666666666	ни_part один_a из_pr
100	12.5	можно_adv записать_v в
174	12.5	в_pr левый_a часть_s
153	12.5	в_pr точка_s тогда_adv
131	12.375	наибольший_a наименьший_a значение_s
169	12.333333333333334	метод_s математический_a индукция_s
183	12.25	прямой_a в_pr пространство_s
91	12.23076923076923	доказать_partcp аналитический_a геометрия_s
161	12.2	интеграл_s второй_a род_s
144	12.142857142857142	в_pr целый_a число_s
125	12.125	функция_s интегрировать_partcp на_pr
136	12.0	проекция_s вектор_s на_pr
287	12.0	против_pr часовой_a стрелка_s
207	12.0	в_pr трехмерный_a пространство_s
276	12.0	иметь_v место_s соотношение_s
290	12.0	приходить_v к_pr равенство_s
293	12.0	в_pr свой_a очередь_s
299	12.0	в_pr сила_s определение_s
160	12.0	функция_s на_pr отрезок_s
198	12.0	для_pr любой_a число_s
305	12.0	дифференциал_s второй_a порядок_s
311	12.0	определение_s вектор_s называться_v
314	12.0	л_sв_pr произведение_s вектор_s
178	11.9	прямой_a проходить_partcp через_pr
173	11.807692307692307	делиться_v на_pr доказать_v
126	11.75	в_pr ортонормированный_a система_s
194	11.75	общий_a решение_s система_s
180	11.727272727272727	таким образом_adv м
196	11.6	в виде_pr сумма_s
