	5gram	freq	pmi
0	о_pr а_s а_s т_s о_s	39	33.84445808520215
1	линейный_a зависимость_s в_pr линейный_a пространство_s	30	24.71848436720471
2	линия_s второй_a порядок_s на_pr плоскость_s	25	27.910523390178962
3	глава_s линейный_a зависимость_s в_pr линейный_a	23	26.654736067684144
4	вектор_s линейный_a операция_s с_pr он	22	25.330636013741007
5	о_s а_s а_s т_s о_s	21	34.27125355535716
6	л_sв_pr вектор_s линейный_a операция_s с_pr	21	27.752744658167472
7	доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s	21	29.288044611801926
8	о_pr а_s а_s т_s о_pr	20	31.56110369498876
9	система_s линейный_a уравнение_s с_pr неизвестный_a	19	24.009725424697727
10	нелинейный_a зависимость_s в_pr линейный_a пространство_s	17	28.735416432939548
11	теорема_s доказать_partcp аналитический_a геометрия_s линейный_a	15	27.57214584597482
12	вид_s аналитический_a геометрия_s линейный_a алгебра_s	15	27.198059803835292
13	нелинейный_a объект_s на_pr плоскость_s в_pr	15	28.233137529559972
14	объект_s на_pr плоскость_s в_pr пространство_s	15	24.643468026161287
15	алгоритм_s евклид_s основной_a теорема_s арифметика_s	14	37.7582488407261
16	переход_s от_pr базис_s к_pr базис_s	14	27.820698815220887
17	что_conj аналитический_a геометрия_s линейный_a алгебра_s	14	25.252420702071205
18	в_pr нелинейный_a объект_s на_pr плоскость_s	14	28.133601856009058
19	л_sв_pr прикладной_a задача_s линейный_a алгебра_s	14	32.19779055869142
20	в_pr нелинейный_a зависимость_s в_pr линейный_a	13	25.64831512409077
21	мочь_v быть_v записать_partcp в виде_pr	12	31.766490233190623
22	о_s а_s а_s т_s о_pr	12	32.14401836706106
23	свойство_s линия_s второй_a порядок_s на_pr	12	27.357783361005872
24	аналитический_a геометрия_s линейный_a алгебра_s поскольку_conj	11	27.84874695536088
25	аналитический_a геометрия_s линейный_a алгебра_s определение_s	11	26.42721374478927
26	р_s свойство_s линия_s второй_a порядок_s	11	32.320459552864065
27	школа_s в_pr математика_s арифметика_s алгебра_sк_pr	10	38.73089192087026
28	в_pr математика_s арифметика_s алгебра_sк_pr журнал_s	10	38.91851892404603
29	а_s а_s т_s о_pr пусть_part	10	29.78213057430098
30	о_intj а_s а_s т_s о_s	10	34.252952738614226
31	определить_partcp в_pr некоторый_a окрестность_s точка_s	10	27.351907890771198
32	аналитический_a геометрия_s линейный_a алгебра_s в_pr	10	23.862812566550428
33	аналитический_a геометрия_s линейный_a алгебра_s теорема_s	10	25.925628674737027
34	тогда_adv только_part тогда_adv когда_conj он	9	28.521879304278965
35	функция_s определить_partcp в_pr некоторый_a окрестность_s	9	27.350110419688797
36	аналитический_a геометрия_s линейный_a алгебра_s доказательство_s	9	27.453813983752923
37	переход_s от_pr один_a ортонормированный_a базис_s	9	29.257455928512886
38	доказать_v что_conj для_pr любой_a натуральный_a	8	24.3698816137348
39	γ_γ γ_γ γ_γ γ_γ γ_γ	8	38.293582641968776
40	π_π π_π π_π π_π π_π	8	35.71350690695046
41	глава_s глава_s глава_s глава_s глава_s	8	36.8002910641462
42	в качестве_pr пример_s решить_v уравнение_s	8	30.024015092392347
43	пусть_part функция_s определить_partcp в_pr некоторый_a	8	24.62828120610462
44	а_s а_s т_s о_s по_pr	8	30.101115405500355
45	аналитический_a геометрия_s линейный_a алгебра_s где_adv	8	26.46139835113556
46	равенство_s аналитический_a геометрия_s линейный_a алгебра_s	8	26.34318616599439
47	аналитический_a геометрия_s линейный_a алгебра_s замечание_s	8	29.45866338341432
